robot_id,event,data
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [11.61258525767613, 3.803599988280391], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.542497261531723, 3.8538768865816735], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.542497261531723, 3.8538768865816735], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [11.096846173656672, 4.347094791339259], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [9.889964854514787, 4.214777088295118], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [9.889964854514787, 4.214777088295118], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [9.925448665693162, 4.292852001810347], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [9.925448665693162, 4.292852001810347], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [11.096846173656672, 4.347094791339259], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.32241693697179, 5.90449063128375], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.32241693697179, 5.90449063128375], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [11.241756713207943, 4.223036257399776], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [11.241756713207943, 4.223036257399776], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [11.116728376101378, 4.344850223434719], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.206600550365774, 4.228227905008334], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.206600550365774, 4.228227905008334], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [10.303634397510464, 5.89999883438297], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [10.303634397510464, 5.89999883438297], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [11.116728376101378, 4.344850223434719], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.306830710681083, 4.55399745479905], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.306830710681083, 4.55399745479905], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [10.35146896886254, 4.623715366763449], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [10.35146896886254, 4.623715366763449], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [10.907242603268088, 4.64277463891953], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [10.907242603268088, 4.64277463891953], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.321024099184156, 6.432442943584654], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.321024099184156, 6.432442943584654], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [10.901883991482695, 4.6256160061029], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [10.901883991482695, 4.6256160061029], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [10.310144375769836, 6.487661374470267], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [10.310144375769836, 6.487661374470267], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.900000162422657, 4.500000067055225], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.900000162422657, 4.500000067055225], ""mode"": ""coordinated""}"
